id,source_url,api_url,retrieved_at,name,type,record_sha256
9e3621cf-69a7-48c1-859a-1ce8066b39f3,https://it.ubc.ca/service-category/authentication,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/9e3621cf-69a7-48c1-859a-1ce8066b39f3,2026-09-10T23:21:54Z,Authentication,taxonomy_term--parent_service_category,5cc8a72db448ed21d6aa4263df356bd692e61ca1f3c3fcf3ae34e045d00a237c
9fe1fff5-4ad3-4707-8944-1fb378f2626e,https://it.ubc.ca/service-category/desktop-support-services-0,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/9fe1fff5-4ad3-4707-8944-1fb378f2626e,2026-09-10T23:21:54Z,Desktop Support Services,taxonomy_term--parent_service_category,4f234fe28c8a808ada1abecba86c71bff65b5e64590162d79f3b4d73f297ada1
ac4275ea-84fe-4c3f-a5de-c2d6a95c217b,https://it.ubc.ca/service-category/cybersecurity-services-0,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/ac4275ea-84fe-4c3f-a5de-c2d6a95c217b,2026-09-10T23:21:54Z,Cybersecurity Services,taxonomy_term--parent_service_category,a05d7e71d91dc383f0d8c2cb49f02c61eff178865aa4005bec6c4db24bc24a93
b32be0dc-8ff0-43a4-98a5-cdba6794e6d3,https://it.ubc.ca/service-category/accounts-passwords-0,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/b32be0dc-8ff0-43a4-98a5-cdba6794e6d3,2026-09-10T23:21:54Z,Accounts & Passwords,taxonomy_term--parent_service_category,0cf457ede955cba4d3d82213602b542b23ebcfdb7c13b2bc5f19c32f1d0db459
ba8844a2-ba07-496e-9b29-fd910e1d917d,https://it.ubc.ca/service-category/internet-cable,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/ba8844a2-ba07-496e-9b29-fd910e1d917d,2026-09-10T23:21:54Z,Internet & Cable,taxonomy_term--parent_service_category,9347ac289470a34bb6daf3ab5ef21f70cf197c61f45504d30c5852e26f2787b2
babba4f4-5a69-4f18-9a83-32d4cf6d0a2d,https://it.ubc.ca/service-category/productivity-tools-0,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/babba4f4-5a69-4f18-9a83-32d4cf6d0a2d,2026-09-10T23:21:54Z,Productivity Tools,taxonomy_term--parent_service_category,37f28e6555bead8124164ee06c8b0e2f7a510c42a6b5600c9e6835f6b6ee1616
bcf49e43-3bcf-4036-bc09-5fea9153bd83,https://it.ubc.ca/service-category/ai-services-0,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/bcf49e43-3bcf-4036-bc09-5fea9153bd83,2026-09-10T23:21:54Z,AI Services,taxonomy_term--parent_service_category,fd52a6f0358be899bde0d87582c9d15a921b6f136f983c434da6d4177063c70d
bd51002d-c863-4e72-8b14-7e6a74ad10cb,https://it.ubc.ca/service-category/learning-management-system,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/bd51002d-c863-4e72-8b14-7e6a74ad10cb,2026-09-10T23:21:54Z,Learning Management System,taxonomy_term--parent_service_category,130eadad30652863cb65ebc81fd494e28f9428f73bceb5a81c7ff77fa79f8833
c685eae6-f988-48b3-87e1-228b7038ea4e,https://it.ubc.ca/service-category/guidelines-standards,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/c685eae6-f988-48b3-87e1-228b7038ea4e,2026-09-10T23:21:54Z,Guidelines & Standards,taxonomy_term--parent_service_category,e92f6cc56b58908b2e61f1707513878d6bca3250cc9e6bb96a679d72afef054f
d1ad3e25-4bce-4ad4-a65e-f3baa8c4a1d5,https://it.ubc.ca/service-category/operational-security,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/d1ad3e25-4bce-4ad4-a65e-f3baa8c4a1d5,2026-09-10T23:21:54Z,Operational Security,taxonomy_term--parent_service_category,9cd84068deca67cf3f565fbd21afcf50125303b864664af630ce967bdcf02b19
dca496f4-a7a5-4bc2-96fc-e64214af4a10,https://it.ubc.ca/service-category/email-messaging,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/dca496f4-a7a5-4bc2-96fc-e64214af4a10,2026-09-10T23:21:54Z,Email & Messaging,taxonomy_term--parent_service_category,1311efbf37f80ac9339a684f055b080cfce5d11c7a6d852d6d3a714185063bb4
f742c601-4c52-4c15-8b63-05996901816d,https://it.ubc.ca/service-category/policy-guidance,https://it.ubc.ca/jsonapi/taxonomy_term/parent_service_category/f742c601-4c52-4c15-8b63-05996901816d,2026-09-10T23:21:54Z,Policy & Guidance,taxonomy_term--parent_service_category,a36eefa0b1976e1cbc29dcfdf20cc9cf60bd4a4051a4030e10e0df5fd541397f
