id,source_url,api_url,retrieved_at,name,type,record_sha256
0ccca224-2ddf-4955-b4c6-f9dfea0794fa,https://wellbeing.ubc.ca/resource-category/communication-tools-support,https://wellbeing.ubc.ca/jsonapi/taxonomy_term/resource_category/0ccca224-2ddf-4955-b4c6-f9dfea0794fa,2026-09-10T23:21:54Z,Communication Tools + Support,taxonomy_term--resource_category,2c32b29b945dc7b1eaf4f10cf5b100b16b91a5c9143dc33b254f215b7e72193e
2cf5a55e-845c-4909-b911-c6a1583b1d4a,https://wellbeing.ubc.ca/resource-category/workshops,https://wellbeing.ubc.ca/jsonapi/taxonomy_term/resource_category/2cf5a55e-845c-4909-b911-c6a1583b1d4a,2026-09-10T23:21:54Z,Workshops,taxonomy_term--resource_category,f29b270bc3070d170e8343bb857fb428017a3adaa94358bf2e71ee32d25d3c79
62acd74e-1bf5-48aa-a831-8126b2980d66,https://wellbeing.ubc.ca/resource-category/tools,https://wellbeing.ubc.ca/jsonapi/taxonomy_term/resource_category/62acd74e-1bf5-48aa-a831-8126b2980d66,2026-09-10T23:21:54Z,Tools,taxonomy_term--resource_category,02d9f5699866aac575404a5f83d343320a4077139b10d3c89ad13e8b95bc29d6
