id,source_url,campus,retrieved_at,branch_id,month,rules,additional_hours_urls,request_url,request_parameters,record_sha256
library_hours:25:2026-12,https://hours.library.ubc.ca/#xwi7xwa,vancouver,2026-09-10T23:22:28Z,library_hours:25,2026-12,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Fri"", ""hours_text"": ""9am - 5pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 23-24"", ""hours_text"": ""9am - 5pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 25-31"", ""hours_text"": ""Closed*""}]","[""https://xwi7xwa.library.ubc.ca/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 25, ""year"": 2026, ""month"": 12}",d07ceb02d4b6e3c46c522f0595649d25d6bb6f15d609e6e1e698c24cfaf532a6
library_hours:2:2026-09,https://hours.library.ubc.ca/#koerner,vancouver,2026-09-10T23:22:28Z,library_hours:2,2026-09,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 1-4"", ""hours_text"": ""8am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 5-6"", ""hours_text"": ""11am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 7"", ""hours_text"": ""11am - 6pm (Labour Day)""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 30"", ""hours_text"": ""11am - 6pm (NDTR)""}]","[""https://koerner.library.ubc.ca/koerner-library/hours/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 2, ""year"": 2026, ""month"": 9}",bc0c71fb0c55f36b23f7cf80d11a8142460f9cb587fc7b742775a44af9e67880
library_hours:2:2026-10,https://hours.library.ubc.ca/#koerner,vancouver,2026-09-10T23:22:28Z,library_hours:2,2026-10,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Oct 12"", ""hours_text"": ""Closed* (Thanksgiving)""}]","[""https://koerner.library.ubc.ca/koerner-library/hours/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 2, ""year"": 2026, ""month"": 10}",1f4020d653b22e5a0c7ae0073384c05e81d946570d742037b8a0c9b65d5a257d
library_hours:2:2026-11,https://hours.library.ubc.ca/#koerner,vancouver,2026-09-10T23:22:28Z,library_hours:2,2026-11,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Nov 9-10"", ""hours_text"": ""8am - 8pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Nov 11"", ""hours_text"": ""Closed*""}]","[""https://koerner.library.ubc.ca/koerner-library/hours/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 2, ""year"": 2026, ""month"": 11}",32ce511bdfdadd7fd03f388c82c064733593d3a5a855b498a59631a3e93b0a3b
library_hours:2:2026-12,https://hours.library.ubc.ca/#koerner,vancouver,2026-09-10T23:22:28Z,library_hours:2,2026-12,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Dec 22"", ""hours_text"": ""8am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 23-24"", ""hours_text"": ""8am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 25-31"", ""hours_text"": ""Closed*""}]","[""https://koerner.library.ubc.ca/koerner-library/hours/""]",https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 2, ""year"": 2026, ""month"": 12}",9cb1272ee26456aade41355e2d352d2c2c4b1b7272d5d2d5e5119bf5feab9473
library_hours:32:2026-09,https://hours.library.ubc.ca/#researchcommons,vancouver,2026-09-10T23:22:28Z,library_hours:32,2026-09,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 1-4"", ""hours_text"": ""8am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 5-6"", ""hours_text"": ""11am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 7"", ""hours_text"": ""11am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 30"", ""hours_text"": ""11am - 6pm""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 32, ""year"": 2026, ""month"": 9}",a8f1302c2043ca4af82e9b5b2c2acb785d1dd94f014f05ebe96c9801f9c5c39a
library_hours:32:2026-10,https://hours.library.ubc.ca/#researchcommons,vancouver,2026-09-10T23:22:28Z,library_hours:32,2026-10,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Oct 12"", ""hours_text"": ""Closed* (Thanksgiving)""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 32, ""year"": 2026, ""month"": 10}",458405f77dd8812fc637478487f16b6da21af2d101025edeab3a2608dbf2c82a
library_hours:32:2026-11,https://hours.library.ubc.ca/#researchcommons,vancouver,2026-09-10T23:22:28Z,library_hours:32,2026-11,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Nov 9-10"", ""hours_text"": ""8am - 8pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Nov 11"", ""hours_text"": ""Closed* (Remembrance Day )""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 32, ""year"": 2026, ""month"": 11}",e10c4bdd810d23366465906186c014d0389dbbe3d27cfdf5346922b833fb09bb
library_hours:32:2026-12,https://hours.library.ubc.ca/#researchcommons,vancouver,2026-09-10T23:22:28Z,library_hours:32,2026-12,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""8am - 8pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""8am - 6pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat-Sun"", ""hours_text"": ""11am - 6pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Dec 22"", ""hours_text"": ""8am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 23-24"", ""hours_text"": ""8am - 6pm""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Dec 25-31"", ""hours_text"": ""Closed*""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 32, ""year"": 2026, ""month"": 12}",9e7ced0ad624709c15ea7df067632bd5575533a794e770fcebcbb2f9c26a00b0
library_hours:33:2026-09,https://hours.library.ubc.ca/#ask,,2026-09-10T23:22:28Z,library_hours:33,2026-09,"[{""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Mon-Thu"", ""hours_text"": ""9am - 9pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Fri"", ""hours_text"": ""9am - 5pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sat"", ""hours_text"": ""11am - 5pm""}, {""category"": ""regular"", ""heading"": ""Regular Hours (Sep 1-Dec 22)"", ""selector"": ""Sun"", ""hours_text"": ""10am - 9pm""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 1-6"", ""hours_text"": ""Closed*""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 7"", ""hours_text"": ""Closed* (Labour Day)""}, {""category"": ""exception"", ""heading"": ""Exception Hours"", ""selector"": ""Sep 8-20"", ""hours_text"": ""Closed*""}, {""category"": ""holiday"", ""heading"": ""Holiday Hours"", ""selector"": ""Sep 30"", ""hours_text"": ""Closed* (NDTR)""}]",[],https://hours.library.ubc.ca/includes/calendar.inc.php,"{""location_id"": 33, ""year"": 2026, ""month"": 9}",1f74c3c82c8493481db8853d1cf2789b18b72ddd93e6cf2bd6c1773e2d47588f
